Match,Team,Start Time,Outlier Book,Outlier Odds,Z Score,Scrape Time
Chicago White Sox @ Pittsburgh Pirates,Pittsburgh Pirates,2025-07-19 18:41:00,Bet Right,1.85,3.76,2025-07-19 18:01:01
Omaha Storm Chasers @ Buffalo Bisons,Buffalo Bisons,2025-07-19 18:35:00,William Hill,1.91,2.15,2025-07-19 18:01:01
Sacramento Kings @ Toronto Raptors,Sacramento Kings,2025-07-19 16:00:00,TAB,1.65,2.03,2025-07-19 18:01:01
Nicolle Caliari @ Carli Judice,Carli Judice,2025-07-19 18:07:00,Pinnacle,1.24,3.28,2025-07-19 18:25:58
Sarmiento de Junin @ Godoy Cruz,Draw,2025-07-19 17:53:00,Pinnacle,2.85,2.91,2025-07-19 18:25:58
Alfredo Rodolfo Blanco @ Omari Jones,Alfredo Rodolfo Blanco,2025-07-19 19:01:00,Paddy Power,34.0,2.87,2025-07-19 18:25:58
Jackson McVey @ Brunno Ferreira,Jackson McVey,2025-07-19 18:45:00,Nordic Bet,5.4,2.31,2025-07-19 18:25:58
Detroit Tigers @ Texas Rangers,Texas Rangers,2025-07-19 19:05:00,Pinnacle,1.88,2.04,2025-07-19 18:25:58
Saskatchewan Roughriders @ BC Lions,BC Lions,2025-07-19 19:00:00,FanDuel,1.73,2.13,2025-07-19 18:42:45
Columbus Clippers @ Iowa Cubs,Iowa Cubs,2025-07-19 19:08:00,William Hill,1.8,2.12,2025-07-19 18:42:45
Baltimore Orioles @ Tampa Bay Rays,Baltimore Orioles,2025-07-19 19:06:00,GTbets,2.15,2.07,2025-07-19 18:42:45
Oakland Athletics @ Cleveland Guardians,Cleveland Guardians,2025-07-19 19:11:00,GTbets,1.79,2.05,2025-07-19 18:42:45
Kyonosuke Kameda @ David Picasso,Kyonosuke Kameda,2025-07-19 18:30:00,DraftKings,5.0,2.76,2025-07-19 18:53:17
Lukasz Brzeski @ Ryan Spann,Ryan Spann,2025-07-19 18:55:00,Pinnacle,1.46,2.28,2025-07-19 18:53:17
St. Louis Cardinals @ Arizona Diamondbacks,Arizona Diamondbacks,2025-07-19 19:16:00,Everygame,2.21,2.57,2025-07-19 19:00:13
Inter Miami CF @ New York Red Bulls,New York Red Bulls,2025-07-19 19:40:00,1xBet,2.72,3.4,2025-07-19 19:26:24
D.C. United @ Columbus Crew SC,D.C. United,2025-07-19 19:30:00,Coolbet,7.6,3.11,2025-07-19 19:26:24
Jim Crute @ Marcin Prachnio,Jim Crute,2025-07-19 16:00:00,Nordic Bet,1.45,2.8,2025-07-19 19:26:24
Adam Fugitt @ Islam Dulatov,Islam Dulatov,2025-07-19 19:35:00,Pinnacle,1.19,2.61,2025-07-19 19:26:24
New York Yankees @ Atlanta Braves,Atlanta Braves,2025-07-19 19:16:00,Bet Right,2.25,2.46,2025-07-19 19:26:24
Charlotte FC @ Atlanta United FC,Draw,2025-07-19 19:30:00,Bovada,3.9,2.15,2025-07-19 19:26:24
Cleveland Cavaliers @ Golden State Warriors,Cleveland Cavaliers,2025-07-19 19:30:00,BetRivers,2.07,2.07,2025-07-19 19:26:24
Indianapolis Indians @ Nashville Sounds,Indianapolis Indians,2025-07-19 19:35:00,William Hill,1.85,2.03,2025-07-19 19:26:24
Boston Red Sox @ Chicago Cubs,Chicago Cubs,2025-07-19 19:16:00,Unibet (FR),1.62,5.08,2025-07-19 19:42:08
Minnesota Twins @ Colorado Rockies,Colorado Rockies,2025-07-19 20:10:00,Betway,2.75,2.54,2025-07-19 19:42:08
Orlando City SC @ New England Revolution,New England Revolution,2025-07-19 19:40:00,BetOnline.ag,3.1,2.1,2025-07-19 19:42:08
River Plate @ Instituto de Córdoba,Instituto de Córdoba,2025-07-19 20:00:00,Pinnacle,3.71,2.09,2025-07-19 19:42:08
Corinthians @ Sao Paulo,Sao Paulo,2025-07-19 20:00:00,BetOnline.ag,2.25,2.08,2025-07-19 19:42:08
Joet Gonzalez @ Brandon Figueroa,Joet Gonzalez,2025-07-19 20:15:00,888sport,3.1,2.04,2025-07-19 19:42:08
San Diego Padres @ Washington Nationals,San Diego Padres,2025-07-19 19:55:00,GTbets,1.87,2.89,2025-07-19 19:52:47
Chicago Fire @ CF Montreal,Draw,2025-07-19 19:30:00,BetOnline.ag,3.8,2.39,2025-07-19 19:52:47
Robert Valentin @ Ateba Gautier,Robert Valentin,2025-07-19 20:00:00,Betsson,5.0,2.25,2025-07-19 19:52:47
Detroit Pistons @ San Antonio Spurs,Detroit Pistons,2025-07-19 20:00:00,BetRivers,1.71,2.07,2025-07-19 19:52:47
